t,x,y,theta,state,front_min,dist_goal,clearance,v,omega
33.45000000000024,6.1091595369487175,4.470170969057683,0.7125868431104561,AVOID,0.13041491439333047,5.373668172894783,0.2736637323632274,0.08,0.0
33.500000000000234,6.112186229543862,4.472786142461972,0.7125868431104561,AVOID,0.13637628439916039,5.3698355360960965,0.27370601660779226,0.08,0.0
33.55000000000023,6.115212922139006,4.475401315866261,0.7125868431104561,AVOID,0.14359629397298532,5.366003143593799,0.27376587292593646,0.08,0.0
33.60000000000023,6.11823961473415,4.47801648927055,0.7125868431104561,AVOID,0.15272632620271243,5.362170995911696,0.2738432978521693,0.08,0.0
33.650000000000226,6.121266307329294,4.480631662674838,0.7125868431104561,AVOID,0.16530953049015826,5.358339093575053,0.2739382869051854,0.08,0.0
33.70000000000022,6.124292999924438,4.483246836079127,0.7125868431104561,AVOID,0.18843564519432543,5.354507437110607,0.27405083458916046,0.08,0.0
33.75000000000022,6.127319692519582,4.485862009483416,0.7125868431104561,RUN,2.0,5.350676027046572,0.27418093439533997,0.64,1.3116278091135514
33.80000000000022,6.150830099278523,4.507562097384296,0.7781682335661335,AVOID,0.13574154283939527,5.3197525724450205,0.2748045245013896,0.08,0.0
33.850000000000215,6.153678901631474,4.510370001434264,0.7781682335661335,AVOID,0.1418643807318984,5.315855652577408,0.2748303109608633,0.08,0.0
33.90000000000021,6.156527703984424,4.513177905484232,0.7781682335661335,AVOID,0.14931737053909938,5.311958885951863,0.27487364937076686,0.08,0.0
33.95000000000021,6.159376506337375,4.5159858095342,0.7781682335661335,AVOID,0.1588276192856078,5.308062272905879,0.2749345372278176,0.08,0.0
34.000000000000206,6.162225308690325,4.518793713584168,0.7781682335661335,AVOID,0.1722130628594673,5.30416581377793,0.2750129710158584,0.08,0.0
34.0500000000002,6.165074111043276,4.521601617634136,0.7781682335661335,AVOID,0.2007978179266756,5.300269508907473,0.27510894620687254,0.08,0.0
34.1000000000002,6.167922913396226,4.524409521684104,0.7781682335661335,AVOID,2.0,5.296373358634947,0.27522245726228933,0.32,0.6544984694978735
34.1500000000002,6.179132328532782,4.535825570335253,0.8108931570410274,AVOID,0.16351007836183043,5.280733638274274,0.2755901035779703,0.08,0.0
34.200000000000195,6.181887733556109,4.538725181198356,0.8108931570410274,AVOID,0.1780422043792987,5.27681056654066,0.27566041233564453,0.08,0.0
34.25000000000019,6.184643138579435,4.54162479206146,0.8108931570410274,RUN,2.0,5.27288761039991,0.27574825152994853,0.64,0.8849723177896615
34.30000000000019,6.206166054908884,4.565301721888447,0.8551417729305104,AVOID,0.17506733248377143,5.241379296581098,0.2763740017822234,0.08,0.0
34.350000000000186,6.208790501010541,4.568320377658735,0.8551417729305104,AVOID,0.19749273797505268,5.237426347198001,0.27644258287715284,0.08,0.0
34.40000000000018,6.211414947112198,4.571339033429024,0.8551417729305104,AVOID,2.0,5.2334734693144895,0.27652867968962747,0.32,0.6544984694978735
34.45000000000018,6.221713304976605,4.58358325573204,0.8878666964054043,AVOID,0.16425848664014325,5.2176253045609196,0.27678643868911224,0.08,0.0
34.50000000000018,6.224237578268793,4.586686164745586,0.8878666964054043,AVOID,0.17659363653917184,5.213654767084518,0.2768292190429755,0.08,0.0
